epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6378,1.37679,3.54475,1.49493,0.00766,1,0.28175,0.19686,0.71863,3.39439,0.57434,9e-05,9e-05,9e-05
2,39.6486,1.22731,3.49627,1.41676,0.00761,1,0.42295,0.29744,1.11722,3.51444,0.78856,0.000188102,0.000188102,0.000188102
3,58.2122,1.27609,3.41794,1.42427,0.00676,0.875,0.43087,0.28998,1.06758,3.56639,0.86203,0.000284206,0.000284206,0.000284206
4,77.9262,1.05603,3.31078,1.2294,0.00694,1,0.41395,0.35663,0.80391,3.4118,0.60405,0.000378312,0.000378312,0.000378312
5,96.1877,1.02711,3.16224,1.20718,0.00737,1,0.43551,0.30977,0.91377,3.3171,0.59805,0.00047042,0.00047042,0.00047042
6,115.027,1.10489,3.06247,1.25062,0.00779,1,0.48388,0.25575,1.45915,3.45462,0.95825,0.000560529,0.000560529,0.000560529
7,132.888,1.23136,2.97934,1.32715,0.00827,1,0.53059,0.28522,1.59316,3.44735,1.02227,0.000648641,0.000648641,0.000648641
8,153.551,1.19806,2.87749,1.33718,0.95863,0.25,0.52187,0.30497,1.18773,3.30939,0.91805,0.000734755,0.000734755,0.000734755
9,172.261,1.14828,2.70204,1.27512,0.93346,0.375,0.52231,0.3354,1.10769,3.12024,0.88572,0.000818871,0.000818871,0.000818871
10,191.517,1.21155,2.63493,1.3121,0.38982,0.45833,0.52996,0.24978,1.57248,3.22822,1.06749,0.000900989,0.000900989,0.000900989
11,209.334,1.16387,2.55982,1.29727,0.39598,0.5793,0.52682,0.28962,1.52704,3.27655,0.93924,0.0009001,0.0009001,0.0009001
12,228.382,1.19973,2.48784,1.35293,0.7468,0.45833,0.44229,0.33605,1.15406,3.59249,0.75908,0.00089011,0.00089011,0.00089011
13,247.174,1.14232,2.29611,1.30151,0.39853,0.45833,0.49172,0.32698,1.08003,3.37713,0.75463,0.00088012,0.00088012,0.00088012
14,265.162,1.20923,2.28094,1.35467,0.47275,0.53269,0.54342,0.38536,1.2461,3.33168,0.92132,0.00087013,0.00087013,0.00087013
15,282.696,1.20391,2.22792,1.38409,0.53309,0.57454,0.58125,0.40128,1.22043,2.88002,0.73499,0.00086014,0.00086014,0.00086014
16,300.724,1.14913,2.11851,1.33618,0.51831,0.58333,0.59105,0.41685,1.00803,2.63599,0.68376,0.00085015,0.00085015,0.00085015
17,318.59,1.21596,1.99636,1.37017,0.53938,0.58333,0.60157,0.46866,0.78232,2.54973,0.67033,0.00084016,0.00084016,0.00084016
18,336.356,1.19562,2.05411,1.36141,0.64991,0.45833,0.59671,0.46113,0.71258,2.54251,0.61078,0.00083017,0.00083017,0.00083017
19,354.281,1.11749,1.89877,1.27709,0.93797,0.45833,0.57771,0.44137,0.85508,2.605,0.68299,0.00082018,0.00082018,0.00082018
20,372.56,1.11478,1.81389,1.3112,0.935,0.45833,0.59431,0.41666,0.8993,2.7846,0.77186,0.00081019,0.00081019,0.00081019
21,390.353,1.12094,1.88867,1.29597,0.88323,0.45833,0.60792,0.40341,1.22167,3.02714,0.96405,0.0008002,0.0008002,0.0008002
22,408.58,1.1562,1.88885,1.35373,0.44516,0.67522,0.67274,0.37502,1.28689,2.8654,0.93871,0.00079021,0.00079021,0.00079021
23,426.436,1.12223,1.76162,1.27861,0.64511,0.63511,0.67471,0.55349,1.052,2.08514,0.83855,0.00078022,0.00078022,0.00078022
24,444.139,1.20263,1.72166,1.35967,0.7475,0.63272,0.70583,0.62272,0.90471,2.0854,0.80239,0.00077023,0.00077023,0.00077023
25,461.942,1.17607,1.73513,1.34509,0.61404,0.71797,0.68675,0.57769,0.90119,2.05103,0.72887,0.00076024,0.00076024,0.00076024
26,480.536,1.12653,1.60247,1.33,0.78246,0.75,0.74682,0.61018,1.01709,1.97191,0.708,0.00075025,0.00075025,0.00075025
27,499.378,1.19031,1.66052,1.36416,0.89192,0.75,0.7864,0.56967,1.12419,2.06804,0.74219,0.00074026,0.00074026,0.00074026
28,517.082,1.18231,1.59669,1.31651,0.80803,0.75,0.76481,0.55143,1.11841,2.10196,0.73991,0.00073027,0.00073027,0.00073027
29,534.825,1.04245,1.56923,1.26186,0.81638,0.66667,0.79055,0.5673,1.03576,2.12238,0.7351,0.00072028,0.00072028,0.00072028
30,552.858,0.9921,1.40239,1.20448,0.75148,0.74309,0.72926,0.56398,0.88811,2.35338,0.68874,0.00071029,0.00071029,0.00071029
31,570.975,1.06886,1.53894,1.27731,0.7511,0.75,0.75396,0.5781,0.91271,2.07386,0.67647,0.0007003,0.0007003,0.0007003
32,588.903,1.0064,1.43491,1.21274,0.90339,0.85345,0.89083,0.68235,0.9288,1.91389,0.65734,0.00069031,0.00069031,0.00069031
33,606.592,1.0189,1.46877,1.24069,0.78728,0.875,0.88471,0.70403,0.81992,1.95409,0.6512,0.00068032,0.00068032,0.00068032
34,624.34,1.05411,1.43611,1.24754,0.81234,0.875,0.88471,0.73477,0.68107,1.89775,0.6244,0.00067033,0.00067033,0.00067033
35,642.136,1.0988,1.38146,1.27838,0.86403,0.86192,0.88562,0.74222,0.74405,2.01728,0.64934,0.00066034,0.00066034,0.00066034
36,659.947,1.02485,1.36201,1.26245,0.83289,0.875,0.84661,0.70461,0.7928,2.07952,0.68725,0.00065035,0.00065035,0.00065035
37,677.756,0.96448,1.38738,1.21811,0.95208,0.875,0.88786,0.7401,0.85418,1.87555,0.74366,0.00064036,0.00064036,0.00064036
38,696.121,1.03357,1.37545,1.23357,0.90852,0.8609,0.88923,0.71473,0.91123,1.81499,0.81052,0.00063037,0.00063037,0.00063037
39,714.124,0.94809,1.27048,1.21265,0.87468,0.85473,0.89083,0.7175,0.96147,1.88244,0.82866,0.00062038,0.00062038,0.00062038
40,731.9,1.00302,1.35033,1.22859,0.87826,0.87079,0.89273,0.69069,1.04013,1.93313,0.84157,0.00061039,0.00061039,0.00061039
41,751.922,0.90907,1.28743,1.19474,0.91813,0.875,0.89083,0.65655,1.10831,1.9953,0.86204,0.0006004,0.0006004,0.0006004
42,769.944,1.00521,1.25159,1.25042,0.93214,0.875,0.89273,0.69013,1.15624,1.83849,0.86347,0.00059041,0.00059041,0.00059041
43,788.131,0.94823,1.21672,1.20779,0.92352,0.875,0.895,0.69677,1.12019,1.69105,0.84967,0.00058042,0.00058042,0.00058042
44,806.022,1.01686,1.26205,1.23894,0.94318,0.86706,0.895,0.72857,1.02595,1.63168,0.8128,0.00057043,0.00057043,0.00057043
45,823.645,0.95613,1.20618,1.19155,0.92954,0.81567,0.895,0.71457,0.9313,1.63917,0.77227,0.00056044,0.00056044,0.00056044
46,841.533,0.98651,1.26538,1.24796,0.89052,0.75,0.85958,0.74803,0.87844,1.78162,0.77352,0.00055045,0.00055045,0.00055045
