epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.5025,1.16084,3.54639,1.28605,0.00725,1,0.33537,0.1509,0.49822,3.22938,0.59578,3.333e-05,1.111e-05,3.333e-05,1.111e-05,3.333e-05,1.111e-05,3.333e-05,1.111e-05
2,24.2173,1.11189,3.50337,1.1623,0.00733,1,0.32102,0.13716,0.47675,3.22642,0.58314,9.966e-05,3.322e-05,9.966e-05,3.322e-05,9.966e-05,3.322e-05,9.966e-05,3.322e-05
3,35.005,1.10441,3.39834,1.3189,0.00747,1,0.28801,0.13118,0.46583,3.22635,0.57481,0.00016555,5.51834e-05,0.00016555,5.51834e-05,0.00016555,5.51834e-05,0.00016555,5.51834e-05
4,45.8171,1.20477,3.67753,1.32167,0.00764,1,0.31249,0.14128,0.44663,3.22502,0.56938,0.000231,7.70001e-05,0.000231,7.70001e-05,0.000231,7.70001e-05,0.000231,7.70001e-05
5,57.0146,0.88028,3.43979,1.19178,0.00754,1,0.26033,0.14016,0.42712,3.22394,0.56696,0.00029601,9.86701e-05,0.00029601,9.86701e-05,0.00029601,9.86701e-05,0.00029601,9.86701e-05
6,68.1002,0.86182,3.42413,1.12307,0.00761,1,0.30244,0.1493,0.42145,3.22313,0.5695,0.000360581,0.000120194,0.000360581,0.000120194,0.000360581,0.000120194,0.000360581,0.000120194
7,79.2161,1.16663,3.58245,1.73869,0.00766,1,0.30014,0.13016,0.43284,3.22334,0.58062,0.000424711,0.00014157,0.000424711,0.00014157,0.000424711,0.00014157,0.000424711,0.00014157
8,90.2041,0.71775,3.36684,1.13022,0.00775,1,0.27664,0.12466,0.42239,3.22254,0.57965,0.000488401,0.0001628,0.000488401,0.0001628,0.000488401,0.0001628,0.000488401,0.0001628
9,100.59,0.70352,3.32746,1.08101,0.00768,1,0.30379,0.13015,0.41629,3.22159,0.58181,0.000551651,0.000183884,0.000551651,0.000183884,0.000551651,0.000183884,0.000551651,0.000183884
10,110.799,0.88192,3.51698,1.05426,0.00772,1,0.36202,0.13882,0.40566,3.2202,0.58552,0.000614462,0.000204821,0.000614462,0.000204821,0.000614462,0.000204821,0.000614462,0.000204821
11,120.933,0.86261,3.37675,1.10452,0.0075,1,0.391,0.13755,0.39429,3.21885,0.58643,0.000676832,0.000225611,0.000676832,0.000225611,0.000676832,0.000225611,0.000676832,0.000225611
12,132.133,0.90715,3.33818,1.11169,0.00756,1,0.45845,0.13596,0.37951,3.21639,0.58543,0.000738763,0.000246254,0.000738763,0.000246254,0.000738763,0.000246254,0.000738763,0.000246254
13,141.885,1.06811,4.47709,1.35409,0.00768,1,0.44391,0.13315,0.3621,3.21682,0.58475,0.000800253,0.000266751,0.000800253,0.000266751,0.000800253,0.000266751,0.000800253,0.000266751
14,151.7,1.10307,3.49624,1.38685,0.00775,1,0.43015,0.12857,0.35245,3.21383,0.58067,0.000861304,0.000287101,0.000861304,0.000287101,0.000861304,0.000287101,0.000861304,0.000287101
15,161.558,0.60751,3.20939,1.04824,0.00779,1,0.41057,0.13942,0.36408,3.21167,0.58374,0.000921914,0.000307305,0.000921914,0.000307305,0.000921914,0.000307305,0.000921914,0.000307305
16,171.468,0.5513,3.23567,0.97287,0.00777,1,0.37617,0.14199,0.36645,3.21223,0.58039,0.000982085,0.000327362,0.000982085,0.000327362,0.000982085,0.000327362,0.000982085,0.000327362
