epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3861,1.17671,13.8147,1.33326,0.00136,1,0.12024,0.06448,0.10877,21.1619,0.20486,0.000101842,0.000101842,0.000101842
2,107.174,1.21973,6.07655,1.45974,0.00135,1,0.11062,0.04663,0.39432,21.3228,0.25695,0.000212516,0.000212516,0.000212516
3,178.595,1.20944,5.00354,1.53257,0.00139,1,0.42658,0.14892,0.6781,21.5326,0.38149,0.000322747,0.000322747,0.000322747
4,242.671,1.37592,8.18358,1.47453,0.00145,1,0.21628,0.11186,0.56332,21.5266,0.34089,0.000432533,0.000432533,0.000432533
5,294.785,1.34647,7.57369,1.70165,0.00141,1,0.32328,0.1995,0.48495,21.5617,0.35931,0.000541876,0.000541876,0.000541876
6,344.759,1.28804,8.11798,1.58222,0.00135,1,0.33682,0.19335,0.47564,21.5425,0.33804,0.000650775,0.000650775,0.000650775
7,390.28,1.32774,5.43525,1.58832,0.00132,1,0.26468,0.13435,0.50235,21.5182,0.32445,0.00075923,0.00075923,0.00075923
8,435.066,1.28319,6.43393,1.55551,0.00126,1,0.24215,0.1021,0.65193,21.5678,0.40672,0.00086724,0.00086724,0.00086724
9,479.247,1.33378,5.12524,1.65935,0.00119,1,0.17997,0.05845,0.70386,21.6811,0.43831,0.000974807,0.000974807,0.000974807
10,528.937,1.36393,5.94031,1.55294,0.00116,1,0.32282,0.12777,0.69057,21.79,0.7263,0.00108193,0.00108193,0.00108193
11,595.554,1.37162,6.71756,1.46635,0.00116,1,0.32282,0.12777,0.69057,21.79,0.7263,0.0010888,0.0010888,0.0010888
12,668.419,1.4455,7.78639,1.73663,0.49071,0.55556,0.57139,0.2634,0.62088,22.4266,0.81581,0.00108658,0.00108658,0.00108658
13,727.368,1.42798,9.21909,1.52331,0.46981,0.16184,0.27485,0.10716,0.76577,22.2443,0.93832,0.00108436,0.00108436,0.00108436
14,772.808,1.5469,5.36939,1.62615,0.00093,1,0.22829,0.06121,0.90579,21.9704,0.79763,0.00108214,0.00108214,0.00108214
15,817.382,1.41017,8.2254,1.77229,0.00093,1,0.22829,0.06121,0.90579,21.9704,0.79763,0.00107992,0.00107992,0.00107992
16,860.252,1.43047,13.0059,1.52618,0.00067,0.77778,0.03043,0.00972,1.0685,22.0759,0.79849,0.0010777,0.0010777,0.0010777
17,903.221,1.34158,6.63108,1.51195,0.00095,1,0.18261,0.0582,0.72929,21.9974,0.65293,0.00107548,0.00107548,0.00107548
18,944.739,1.25165,8.32937,1.47889,0.06313,1,0.26432,0.05372,0.81147,22.9017,0.98947,0.00107326,0.00107326,0.00107326
19,986.089,1.06074,9.78515,1.27029,0.06313,1,0.26432,0.05372,0.81147,22.9017,0.98947,0.00107104,0.00107104,0.00107104
20,1025.86,1.404,4.80402,1.5727,0.72899,0.33333,0.11442,0.02558,0.89548,26.756,1.10021,0.00106882,0.00106882,0.00106882
21,1065.12,1.21499,7.91983,1.29597,0.15075,1,0.2375,0.12563,0.70338,39.0847,0.8971,0.0010666,0.0010666,0.0010666
22,1111.07,1.31516,7.82883,1.4455,0.1388,0.83333,0.26246,0.14902,0.50513,30.7588,0.56945,0.00106438,0.00106438,0.00106438
23,1154.24,1.44984,6.36905,1.63518,0.1388,0.83333,0.26246,0.14902,0.50513,30.7588,0.56945,0.00106216,0.00106216,0.00106216
24,1197.41,1.12946,11.4389,1.2621,0.13846,0.88889,0.43075,0.19034,0.5343,41.4718,0.5085,0.00105995,0.00105995,0.00105995
