epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6541,1.45452,3.53143,1.51019,0.00956,1,0.07975,0.06128,0.57674,3.23891,0.59764,0.000101842,0.000101842,0.000101842
2,56.1783,1.32404,3.52466,1.47029,0.01107,1,0.19617,0.12648,1.00821,3.30599,0.67125,0.000208687,0.000208687,0.000208687
3,80.3705,1.23768,3.47581,1.38552,0.01059,1,0.26324,0.16975,1.02128,3.30245,0.62754,0.000311093,0.000311093,0.000311093
4,103.706,1.19197,3.33392,1.33211,0.00944,1,0.20826,0.16556,0.8145,3.23205,0.57395,0.000409059,0.000409059,0.000409059
5,127.459,1.21356,3.22307,1.30947,0.00795,1,0.18409,0.13171,1.04638,3.21886,0.67131,0.000502586,0.000502586,0.000502586
6,150.321,1.28792,3.17992,1.34247,0.00764,1,0.25694,0.16675,1.30388,3.20232,0.76996,0.000591673,0.000591673,0.000591673
7,174.471,1.24761,3.04673,1.33487,0.00683,1,0.25973,0.15931,1.2899,3.12269,0.8068,0.000676321,0.000676321,0.000676321
8,198.06,1.15358,2.93217,1.26759,0.94216,0.10947,0.29558,0.17215,0.98506,3.00032,0.75157,0.000756529,0.000756529,0.000756529
9,221.392,1.29471,2.93555,1.37501,0.62764,0.27315,0.35178,0.19824,0.90034,2.7514,0.70921,0.000832298,0.000832298,0.000832298
10,244.842,1.31875,2.90341,1.42446,0.42984,0.31831,0.31667,0.15659,1.03522,2.72417,0.74814,0.000903626,0.000903626,0.000903626
11,268.095,1.35817,2.85806,1.46737,0.39613,0.35288,0.24286,0.16927,1.11764,2.55233,0.6571,0.000889022,0.000889022,0.000889022
12,291.805,1.32153,2.78838,1.3829,0.39079,0.38077,0.24068,0.17534,1.06084,2.62577,0.6446,0.000866824,0.000866824,0.000866824
13,315.648,1.25766,2.6471,1.3953,0.18891,0.67692,0.30752,0.23389,1.02229,3.16959,0.66512,0.000844627,0.000844627,0.000844627
14,338.56,1.28569,2.56322,1.39274,0.22021,0.57688,0.43166,0.29229,1.20981,3.58025,0.72137,0.000822429,0.000822429,0.000822429
15,361.911,1.31148,2.70984,1.40425,0.8414,0.43667,0.52637,0.22764,1.493,2.9855,0.86826,0.000800231,0.000800231,0.000800231
16,385.236,1.37712,2.57926,1.44678,0.29867,0.53454,0.50128,0.2261,1.40488,3.03493,0.75043,0.000778033,0.000778033,0.000778033
17,408.463,1.37106,2.52928,1.43239,0.33476,0.57917,0.46429,0.26735,1.18663,3.08581,0.82427,0.000755836,0.000755836,0.000755836
18,431.829,1.37163,2.44477,1.41334,0.36045,0.58205,0.47394,0.30388,1.11565,2.90243,0.84665,0.000733638,0.000733638,0.000733638
19,455.294,1.26692,2.35076,1.38456,0.35549,0.73782,0.53228,0.28172,1.19609,2.91593,0.83546,0.00071144,0.00071144,0.00071144
20,478.668,1.29636,2.35768,1.42223,0.40181,0.76835,0.54279,0.2745,1.21473,3.08219,0.79445,0.000689242,0.000689242,0.000689242
21,501.858,1.28661,2.36499,1.4126,0.29373,0.77007,0.50592,0.27593,1.23972,2.88981,0.78986,0.000667044,0.000667044,0.000667044
22,525.059,1.24139,2.14412,1.36778,0.29197,0.57532,0.4002,0.26905,1.17588,2.71332,0.78348,0.000644847,0.000644847,0.000644847
23,548.891,1.29013,2.22399,1.40266,0.27381,0.64038,0.45433,0.37004,1.11021,2.49604,0.72575,0.000622649,0.000622649,0.000622649
24,571.681,1.19691,2.24992,1.29958,0.29908,0.65258,0.46082,0.32881,1.05136,2.33117,0.68685,0.000600451,0.000600451,0.000600451
25,595.507,1.21433,2.1277,1.3715,0.36818,0.73237,0.53133,0.35777,1.20658,2.11014,0.67167,0.000578253,0.000578253,0.000578253
26,618.605,1.12854,2.13352,1.31322,0.36032,0.83062,0.59267,0.37512,1.39086,2.00292,0.70694,0.000556055,0.000556055,0.000556055
27,641.866,1.22544,2.16304,1.34301,0.43959,0.75192,0.61993,0.38843,1.42982,2.25182,0.81991,0.000533858,0.000533858,0.000533858
28,667.949,1.15089,2.07064,1.33036,0.4423,0.60434,0.55865,0.36052,1.39695,2.37571,0.8769,0.00051166,0.00051166,0.00051166
29,690.885,1.22626,2.11488,1.37635,0.51613,0.50594,0.5969,0.32797,1.3488,2.45261,0.93315,0.000489462,0.000489462,0.000489462
30,713.729,1.19509,2.01487,1.32478,0.50133,0.55953,0.62091,0.36304,1.37512,2.41009,0.89947,0.000467264,0.000467264,0.000467264
31,736.802,1.13297,2.02925,1.28959,0.42316,0.76335,0.64397,0.36667,1.38188,2.12102,0.85011,0.000445067,0.000445067,0.000445067
