epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1067,1.56604,3.49466,1.62846,0.00749,1,0.18346,0.16649,0.5644,3.39984,0.54816,5e-05,5e-05,5e-05
2,28.2953,1.44845,3.45517,1.52498,0.00735,1,0.20639,0.18275,0.74211,3.40671,0.57639,0.000107802,0.000107802,0.000107802
3,39.4516,1.24781,3.50193,1.36962,0.00663,1,0.49566,0.38251,1.04235,3.44251,0.59037,0.000163207,0.000163207,0.000163207
4,49.887,1.29128,3.51017,1.37217,0.00611,1,0.48412,0.34005,1.15669,3.51716,0.7043,0.000216214,0.000216214,0.000216214
5,60.2029,1.13957,3.37488,1.3195,0.0058,1,0.47779,0.3659,0.88678,3.45142,0.57255,0.000266823,0.000266823,0.000266823
6,70.6607,1.11,3.33545,1.2676,0.00644,1,0.47141,0.41885,0.59799,3.39422,0.50007,0.000315035,0.000315035,0.000315035
7,81.5375,1.04627,3.19846,1.22373,0.00646,1,0.46592,0.42507,0.46522,3.34964,0.46083,0.000360849,0.000360849,0.000360849
8,91.9503,1.20714,3.14494,1.33814,0.00595,1,0.49137,0.44682,0.52365,3.34132,0.47462,0.000404266,0.000404266,0.000404266
9,102.062,1.19793,3.11939,1.33848,0.00581,1,0.48529,0.39344,0.80467,3.33887,0.5187,0.000445285,0.000445285,0.000445285
10,112.617,1.17418,3.08566,1.3068,0.00596,1,0.42554,0.26553,1.25254,3.40521,0.77011,0.000483906,0.000483906,0.000483906
11,122.892,1.15031,3.0812,1.30235,0.00772,1,0.37728,0.29058,1.11246,3.33035,0.67605,0.00052013,0.00052013,0.00052013
12,133.38,1.16629,3.00495,1.2904,0.0078,1,0.34671,0.26113,1.03628,3.24912,0.66543,0.000553956,0.000553956,0.000553956
13,143.495,1.11114,2.92177,1.27215,0.00811,1,0.36553,0.26056,1.10241,3.17503,0.66681,0.000585385,0.000585385,0.000585385
14,153.659,1.13284,2.87176,1.25197,0.00797,1,0.57151,0.398,1.06543,3.08243,0.62052,0.000614416,0.000614416,0.000614416
15,163.743,1.00749,2.78705,1.21102,0.00797,1,0.57151,0.398,1.06543,3.08243,0.62052,0.000641049,0.000641049,0.000641049
16,174.126,1.21868,2.80579,1.33714,0.00745,1,0.59862,0.39002,1.12721,3.02175,0.65623,0.000665285,0.000665285,0.000665285
17,184.876,1.15162,2.79753,1.2841,0.52195,0.57609,0.65563,0.43958,1.1925,2.89918,0.65188,0.00068032,0.00068032,0.00068032
18,195.429,1.09356,2.67616,1.27367,0.68611,0.44912,0.65512,0.49108,0.94942,2.69894,0.61181,0.00066034,0.00066034,0.00066034
19,205.561,1.17118,2.59393,1.35841,0.68611,0.44912,0.65512,0.49108,0.94942,2.69894,0.61181,0.00064036,0.00064036,0.00064036
20,215.773,1.06644,2.52804,1.26717,0.56273,0.62505,0.65835,0.4772,1.03668,2.61133,0.63875,0.00062038,0.00062038,0.00062038
21,226.021,1.18105,2.62658,1.36979,0.53206,0.58333,0.61394,0.44448,1.00493,2.56492,0.63201,0.0006004,0.0006004,0.0006004
22,236.313,1.18297,2.56813,1.3452,0.54244,0.65052,0.63038,0.45789,1.03129,2.48485,0.64467,0.00058042,0.00058042,0.00058042
23,246.6,1.15923,2.46184,1.32861,0.54244,0.65052,0.63038,0.45789,1.03129,2.48485,0.64467,0.00056044,0.00056044,0.00056044
