epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.705,1.71013,3.53007,2.21643,0.51818,1,0.95484,0.73497,0.45999,4.06936,0.93399,9.65517e-05,9.65517e-05,9.65517e-05
2,403.066,1.20734,3.15856,1.82448,0.05413,1,0.97285,0.7671,0.60259,4.00797,1.07317,0.000192625,0.000192625,0.000192625
3,531.458,1.04395,2.80905,1.73967,0.03065,1,0.90239,0.55575,0.58534,3.74018,0.9635,0.000284702,0.000284702,0.000284702
4,668.712,1.05164,2.42482,1.70379,0.96483,0.72193,0.9803,0.84943,0.42947,3.01489,0.7736,0.000372782,0.000372782,0.000372782
5,808.272,1.00903,2.05753,1.68673,0.93215,0.91228,0.96695,0.7944,0.60983,2.41871,0.87011,0.000456867,0.000456867,0.000456867
6,947.533,1.03505,1.74665,1.65117,0.9736,0.97045,0.99216,0.87535,0.51858,2.05651,0.72512,0.000536956,0.000536956,0.000536956
7,1088.22,0.90689,1.494,1.60369,0.94014,1,0.98892,0.65376,0.87012,2.45539,0.9738,0.000613049,0.000613049,0.000613049
8,1221.21,0.96601,1.50911,1.6293,0.85349,0.92982,0.95875,0.51813,0.94744,3.13843,1.2085,0.000685146,0.000685146,0.000685146
9,1352.85,0.85714,1.28809,1.51693,0.86455,0.95181,0.96324,0.60245,0.727,2.79217,0.98971,0.000753247,0.000753247,0.000753247
10,1489.75,0.85804,1.21601,1.61134,0.94662,0.99123,0.98915,0.84771,0.43387,1.9382,0.72919,0.000817352,0.000817352,0.000817352
11,1626.99,0.92756,1.22152,1.59925,0.97961,1,0.99448,0.86375,0.43352,1.72945,0.75017,0.0008002,0.0008002,0.0008002
12,1761.72,0.86638,1.12438,1.54482,0.81022,0.90351,0.91206,0.67007,0.59581,2.08917,0.86764,0.00078022,0.00078022,0.00078022
13,1902.35,0.81446,1.07413,1.48007,0.92104,0.96491,0.98624,0.84642,0.55162,1.75703,0.87943,0.00076024,0.00076024,0.00076024
14,2037.56,0.85431,1.05119,1.50062,0.97353,0.96794,0.98765,0.84631,0.49349,1.7449,0.79451,0.00074026,0.00074026,0.00074026
15,2176.04,0.84765,1.04378,1.54908,1,0.99811,0.995,0.90137,0.45271,1.38257,0.68411,0.00072028,0.00072028,0.00072028
16,2326.16,0.80514,0.98108,1.47457,0.97306,1,0.99032,0.80553,0.6161,1.77385,0.80637,0.0007003,0.0007003,0.0007003
17,2463.56,0.85625,1.03279,1.49419,0.93203,0.99123,0.98596,0.80661,0.60027,1.98737,0.78643,0.00068032,0.00068032,0.00068032
18,2625.43,0.80654,0.9784,1.48608,0.93957,0.95471,0.98005,0.92486,0.4076,1.56789,0.65168,0.00066034,0.00066034,0.00066034
19,2783.03,0.82286,0.99045,1.50933,0.99101,1,0.995,0.84432,0.58057,1.34889,0.81832,0.00064036,0.00064036,0.00064036
20,3015.36,0.8544,1.03342,1.54631,0.99864,1,0.995,0.82072,0.59395,1.33383,0.91279,0.00062038,0.00062038,0.00062038
21,3211.73,0.74718,0.92542,1.4384,0.99785,1,0.995,0.85178,0.56553,1.31387,0.85363,0.0006004,0.0006004,0.0006004
22,3364.3,0.75419,0.96614,1.43488,0.99893,1,0.995,0.84135,0.56611,1.1796,0.82269,0.00058042,0.00058042,0.00058042
23,3563.59,0.69443,0.88664,1.40442,0.99909,1,0.995,0.80346,0.6129,1.21341,0.80483,0.00056044,0.00056044,0.00056044
24,3762.33,0.73913,0.93373,1.39913,0.99684,1,0.995,0.81178,0.59331,1.35303,0.76787,0.00054046,0.00054046,0.00054046
25,3982.54,0.77247,0.9472,1.4546,0.99303,1,0.995,0.89173,0.42293,1.13125,0.62636,0.00052048,0.00052048,0.00052048
26,4225.07,0.6944,0.88661,1.40616,0.9985,1,0.995,0.89616,0.45384,1.07529,0.68649,0.0005005,0.0005005,0.0005005
